county_name,female_above_20,male_above_20,total_pop_above_20,all_age_population
Adair County,2742,2670,5412,7063
Adams County,1412,1389,2801,3645
Allamakee County,5088,5225,10313,13832
Appanoose County,4834,4588,9422,12437
Audubon County,2223,2054,4277,5506
Benton County,9616,9516,19132,25642
Black Hawk County,50681,48372,99053,132408
Boone County,10180,10020,20200,26346
Bremer County,9420,8959,18379,24947
Buchanan County,7703,7503,15206,21199
Buena Vista County,6979,7187,14166,19874
Butler County,5573,5413,10986,14539
Calhoun County,3598,3833,7431,9699
Carroll County,7613,7189,14802,20154
Cass County,5057,4722,9779,12930
Cedar County,7160,6983,14143,18627
Cerro Gordo County,17049,15767,32816,42647
Cherokee County,4342,4310,8652,11321
Chickasaw County,4419,4490,8909,11964
Clarke County,3394,3391,6785,9423
Clay County,6214,5933,12147,16134
Clayton County,6721,6773,13494,17556
Clinton County,18003,16921,34924,46518
Crawford County,6035,6302,12337,17158
Dallas County,32484,30777,63261,90180
Davis County,3101,3073,6174,9017
Decatur County,2894,2848,5742,7890
Delaware County,6311,6358,12669,17069
Des Moines County,15334,14205,29539,39138
Dickinson County,6905,6655,13560,17153
Dubuque County,36753,35088,71841,96854
Emmet County,3528,3542,7070,9253
Fayette County,7498,7476,14974,19660
Floyd County,6047,5762,11809,15761
Franklin County,3799,3771,7570,10124
Fremont County,2698,2598,5296,6993
Greene County,3447,3245,6692,8981
Grundy County,4685,4536,9221,12304
Guthrie County,4098,3983,8081,10720
Hamilton County,5701,5540,11241,14952
Hancock County,4111,4041,8152,10712
Hardin County,6588,6418,13006,16868
Harrison County,5309,5246,10555,14134
Henry County,7351,7804,15155,20067
Howard County,3396,3329,6725,9187
Humboldt County,3643,3499,7142,9547
Ida County,2583,2472,5055,6841
Iowa County,6121,5942,12063,16141
Jackson County,7431,7261,14692,19432
Jasper County,13726,14325,28051,37147
Jefferson County,6698,8506,15204,18381
Johnson County,56881,55914,112795,151260
Jones County,7690,8207,15897,20744
Keokuk County,3855,3816,7671,10225
Kossuth County,5702,5640,11342,14908
Lee County,13042,13041,26083,34055
Linn County,86092,81484,167576,225909
Louisa County,4170,4218,8388,11169
Lucas County,3222,3249,6471,8645
Lyon County,4129,4072,8201,11811
Madison County,6039,5805,11844,16249
Mahaska County,8086,7979,16065,22000
Marion County,12316,12048,24364,33407
Marshall County,14413,14476,28889,39981
Mills County,5602,5580,11182,15063
Mitchell County,3975,3860,7835,10569
Monona County,3407,3179,6586,8679
Monroe County,2937,2842,5779,7790
Montgomery County,3888,3611,7499,10003
Muscatine County,15783,15457,31240,42929
O'Brien County,5184,5061,10245,13840
Osceola County,2227,2248,4475,6040
Page County,5732,6297,12029,15249
Palo Alto County,3401,3255,6656,8929
Plymouth County,9213,9030,18243,25095
Pocahontas County,2538,2528,5066,6740
Polk County,181715,172617,354332,487204
Pottawattamie County,35638,33373,69011,93533
Poweshiek County,7352,6740,14092,18699
Ringgold County,1914,1780,3694,4968
Sac County,3772,3582,7354,9719
Scott County,65901,62109,128010,173283
Shelby County,4490,4236,8726,11578
Sioux County,11957,11961,23918,34909
Story County,34723,38146,72869,98105
Tama County,6282,6143,12425,16904
Taylor County,2318,2276,4594,6191
Union County,4788,4412,9200,12359
Van Buren County,2630,2653,5283,7020
Wapello County,13345,13056,26401,35205
Warren County,19026,17836,36862,51056
Washington County,8306,7853,16159,22141
Wayne County,2380,2264,4644,6401
Webster County,13217,13852,27069,36277
Winnebago County,3991,3895,7886,10518
Winneshiek County,7662,7591,15253,20029
Woodbury County,37044,35667,72711,102539
Worth County,2864,2874,5738,7453
Wright County,4675,4693,9368,12690
