vehicle_brand_name,year_of_manufacture,selling_price,current_market_price_for_new_model,kilometers_driven
ritz,2014,3350,5590,27000
sx4,2013,4750,9540,43000
ciaz,2017,7250,9850,6900
wagon r,2011,2850,4150,5200
swift,2014,4600,6870,42450
vitara brezza,2018,9250,9830,2071
ciaz,2015,6750,8120,18796
s cross,2015,6500,8610,33429
ciaz,2016,8750,8890,20273
ciaz,2015,7450,8920,42367
alto 800,2017,2850,3600,2135
ciaz,2015,6850,10380,51000
ciaz,2015,7500,9940,15000
ertiga,2015,6100,7710,26000
dzire,2009,2250,7210,77427
ertiga,2016,7750,10790,43000
ertiga,2015,7250,10790,41678
ertiga,2016,7750,10790,43000
wagon r,2015,3250,5090,35500
sx4,2010,2650,7980,41442
alto k10,2016,2850,3950,25000
ignis,2017,4900,5710,2400
sx4,2011,4400,8010,50000
alto k10,2014,2500,3460,45280
wagon r,2013,2900,4410,56879
swift,2011,3000,4990,20000
swift,2013,4150,5870,55138
swift,2017,6000,6490,16200
alto k10,2010,1950,3950,44542
ciaz,2015,7450,10380,45000
ritz,2012,3100,5980,51439
ritz,2011,2350,4890,54200
swift,2014,4950,7490,39000
ertiga,2014,6000,9950,45000
dzire,2014,5500,8060,45000
sx4,2011,2950,7740,49998
dzire,2015,4650,7200,48767
800,2003,350,2280,127000
alto k10,2016,3000,3760,10079
sx4,2003,2250,7980,62000
baleno,2016,5850,7870,24524
alto k10,2014,2550,3980,46706
sx4,2008,1950,7150,58000
dzire,2014,5500,8060,45780
omni,2012,1250,2690,50000
ciaz,2014,7500,12040,15000
ritz,2013,2650,4890,64532
wagon r,2006,1050,4150,65000
ertiga,2015,5800,7710,25870
ciaz,2017,7750,9290,37000
fortuner,2012,14900,30610,104707
fortuner,2015,23000,30610,40000
innova,2017,18000,19770,15000
fortuner,2013,16000,30610,135000
innova,2005,2750,10210,90000
corolla altis,2009,3600,15040,70000
etios cross,2015,4500,7270,40534
corolla altis,2010,4750,18540,50000
etios g,2014,4100,6800,39485
fortuner,2014,19990,35960,41000
corolla altis,2013,6950,18610,40001
etios cross,2015,4500,7700,40588
fortuner,2014,18750,35960,78000
fortuner,2015,23500,35960,47000
fortuner,2017,33000,36230,6000
etios liva,2014,4750,6950,45000
innova,2017,19750,23150,11000
fortuner,2010,9250,20450,59000
corolla altis,2011,4350,13740,88000
corolla altis,2016,14250,20910,12000
etios liva,2014,3950,6760,71000
corolla altis,2011,4500,12480,45000
corolla altis,2013,7450,18610,56001
etios liva,2011,2650,5710,43000
etios cross,2014,4900,8930,83000
etios g,2015,3950,6800,36000
corolla altis,2013,5500,14680,72000
corolla,2004,1500,12350,135154
corolla altis,2010,5250,22830,80000
fortuner,2012,14500,30610,89000
corolla altis,2016,14730,14890,23000
etios gd,2015,4750,7850,40000
innova,2017,23000,25390,15000
innova,2015,12500,13460,38000
innova,2005,3490,13460,197176
camry,2006,2500,23730,142000
land cruiser,2010,35000,92600,78000
corolla altis,2012,5900,13740,56000
etios liva,2013,3450,6050,47000
etios g,2014,4750,6760,40000
corolla altis,2009,3800,18610,62000
innova,2014,11250,16090,58242
innova,2005,3510,13700,75000
fortuner,2015,23000,30610,40000
corolla altis,2008,4000,22780,89000
corolla altis,2012,5850,18610,72000
innova,2016,20750,25390,29000
corolla altis,2017,17000,18640,8700
corolla altis,2013,7050,18610,45000
fortuner,2010,9650,20450,50024
Royal Enfield Thunder 500,2016,1750,1900,3000
UM Renegade Mojave,2017,1700,1820,1400
KTM RC200,2017,1650,1780,4000
Bajaj Dominar 400,2017,1450,1600,1200
Royal Enfield Classic 350,2017,1350,1470,4100
KTM RC390,2015,1350,2370,21700
Hyosung GT250R,2014,1350,3450,16500
Royal Enfield Thunder 350,2013,1250,1500,15000
Royal Enfield Thunder 350,2016,1200,1500,18000
Royal Enfield Classic 350,2017,1200,1470,11000
KTM RC200,2016,1200,1780,6000
Royal Enfield Thunder 350,2016,1150,1500,8700
KTM 390 Duke ,2014,1150,2400,7000
Mahindra Mojo XT300,2016,1150,1400,35000
Royal Enfield Classic 350,2015,1150,1470,17000
Royal Enfield Classic 350,2015,1110,1470,17500
Royal Enfield Classic 350,2013,1100,1470,33000
Royal Enfield Thunder 500,2015,1100,1900,14000
Royal Enfield Classic 350,2015,1100,1470,26000
Royal Enfield Thunder 500,2013,1050,1900,5400
Bajaj Pulsar RS200,2016,1050,1260,5700
Royal Enfield Thunder 350,2011,1050,1500,6900
Royal Enfield Bullet 350,2016,1050,1170,6000
Royal Enfield Classic 350,2013,1000,1470,46500
Royal Enfield Classic 500,2012,950,1750,11500
Royal Enfield Classic 500,2009,900,1750,40000
Bajaj Avenger 220,2017,900,950,1300
Bajaj Avenger 150,2016,750,800,7000
Honda CB Hornet 160R,2017,800,870,3000
Yamaha FZ S V 2.0,2017,780,840,5000
Honda CB Hornet 160R,2017,750,870,11000
Yamaha FZ 16,2015,750,820,18000
Bajaj Avenger 220,2017,750,950,3500
Bajaj Avenger 220,2016,720,950,500
TVS Apache RTR 160,2017,650,810,11800
Bajaj Pulsar 150,2015,650,740,5000
Honda CBR 150,2014,650,1200,23500
Hero Extreme,2013,650,787,16000
Honda CB Hornet 160R,2016,600,870,15000
Bajaj Avenger 220 dtsi,2015,600,950,16600
Honda CBR 150,2013,600,1200,32000
Bajaj Avenger 150 street,2016,600,800,20000
Yamaha FZ  v 2.0,2015,600,840,29000
Yamaha FZ  v 2.0,2016,600,840,25000
Bajaj Pulsar  NS 200,2014,600,990,25000
TVS Apache RTR 160,2012,600,810,19000
Hero Extreme,2014,550,787,15000
Yamaha FZ S V 2.0,2015,550,840,58000
Bajaj Pulsar 220 F,2010,520,940,45000
Bajaj Pulsar 220 F,2016,510,940,24000
TVS Apache RTR 180,2011,500,826,6000
Hero Passion X pro,2016,500,550,31000
Bajaj Pulsar NS 200,2012,500,990,13000
